turtle_num,date,reef_id,Community,Province,species_id, Sps identifed correctly by monitor?,Fishing method,Time,photo_num,CCL (cm),DNA_bottle_num,Use,Turtle products sold locally,Turtle products sold in Honiara,Notes
1,12.11.16,482,Wagina,Choiseul,Hawksbill,Yes,Freediving/hook,Not recorded,Wagina 001,85.5,DNA not taken,Food for family,,,
2,12.11.16,482,Wagina,Choiseul,Hawksbill,Yes,Freediving/hook,Not recorded,Wagina 002,65.5,DNA not taken,Food for family,,,
3,12.11.16,500,Wagina,Choiseul,Green,Yes,Freediving/spear,Not recorded,Wagina 003,78.5,DNA not taken,Family Feast/aniversary ,,,
4,13.11.16,294,Wagina,Choiseul,Hawksbill,Yes,Freediving/hook,Night,Wagina 004,83,DNA not taken,Community Feast/Church ,,,
5,13.11.16,294,Wagina,Choiseul,Hawksbill,Yes,Freediving/hook,Night,Wagina 005,85,DNA not taken,Community Feast/Church ,,,
6,13.11.16,294,Wagina,Choiseul,Hawksbill,Yes,Freediving/hook,Night,Wagina 006,49,DNA not taken,Community Feast/Church ,,,
7,13.11.16,475,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 007,93,DNA not taken,Food for family,,,
8,13.11.16,294,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 008,87,DNA not taken,Sale ,Meat and blood ,,
9,17.11.16,99999,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 009,78,DNA not taken,Food for family,,,
10,19.11.16,319,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 010,78,DNA not taken,Food for family,,,
11,19.11.16,500,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 011,49.5,DNA not taken,Food for family,,,
12,21.11.16,535,Wagina,Choiseul,Green,Yes,Freediving/spear,Night,Wagina 012,79.5,DNA not taken,Food for family,,,
13,21.11.16,535,Wagina,Choiseul,Green,Yes,Freediving/spear,Night,Wagina 013,68.5,DNA not taken,Food for family,,,
14,21.11.16,535,Wagina,Choiseul,Green,Yes,Freediving/spear,Night,Wagina 014,69,DNA not taken,Food for family,,,
15,23.11.16,539,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 015,88,DNA not taken,Food for family,,,
16,24.11.16,291,Wagina,Choiseul,Hawksbill,Yes,Freediving/hook,Not recorded,Wagina 016,58,DNA not taken,Community Feast/Church ,,,
17,24.11.16,291,Wagina,Choiseul,Hawksbill,Yes,Freediving/hook,Not recorded,Wagina 017,83,DNA not taken,Community Feast/Church ,,,
18,26.11.16,476,Wagina,Choiseul,Hawksbill,Yes,Freediving/hook,Night,Wagina 018,83,DNA not taken,Family Feast/new out board motor,,,
19,26.11.16,476,Wagina,Choiseul,Hawksbill,Yes,Freediving/hook,Night,Wagina 019,86.5,DNA not taken,Family Feast/new out board motor,,,
20,26.11.16,476,Wagina,Choiseul,Hawksbill,Yes,Freediving/hook,Night,Wagina 020,92.5,DNA not taken,Family Feast/new out board motor,,,
21,26.11.16,476,Wagina,Choiseul,Hawksbill,Yes,Freediving/hook,Night,Wagina 021,82,DNA not taken,Family Feast/new out board motor,,,
22,28.11.16,501,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 022,71.5,DNA not taken,Family Feast/birthday party,,,
23,28.11.16,501,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 023,68.5,DNA not taken,Family Feast/birthday party,,,
24,28.11.16,501,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 024,61.5,DNA not taken,Family Feast/birthday party,,,
25,28.11.16,501,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 025,52.5,DNA not taken,Family Feast/birthday party,,,
26,28.11.16,501,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 026,46.5,DNA not taken,Family Feast/birthday party,,,
27,01.12.16,321,Wagina,Choiseul,Hawksbill,Yes,Captured while nesting,Night,Wagina 027,89.5,DNA not taken,Food for family,,,
28,01.12.16,289,Wagina,Choiseul,Hawksbill,Yes,Captured while nesting,Night,Wagina 028,82.5,DNA not taken,Food for family,,,
29,03.12.16,501,Wagina,Choiseul,Green,Yes,Freediving/hook,Night,Wagina 029,46.5,DNA not taken,Food for family,,,
30,03.12.16,501,Wagina,Choiseul,Green,Yes,Freediving/hook,Night,Wagina 030,72,DNA not taken,Food for family,,,
31,03.12.16,476,Wagina,Choiseul,Green,Yes,Freediving/hook,Night,Wagina 031,103,DNA not taken,Food for family,,,
32,03.12.16,476,Wagina,Choiseul,Green,Yes,Freediving/hook,Night,Wagina 032,74.5,DNA not taken,Food for family,,,
33,03.12.16,476,Wagina,Choiseul,Hawksbill,Yes,Freediving/hook,Night,Wagina 033,75.5,DNA not taken,Food for family,,,
34,03.12.16,476,Wagina,Choiseul,Hawksbill,Yes,Freediving/hook,Night,Wagina 034,79,DNA not taken,Food for family,,,
35,03.12.16,476,Wagina,Choiseul,Hawksbill,Yes,Freediving/hook,Night,Wagina 035,75.5,DNA not taken,Food for family,,,
36,04.12.16,485,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 036,74,DNA not taken,Food for family,,,
37,04.12.16,294,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 037,44,DNA not taken,Food for family,,,
38,04.12.16,294,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 038,89.5,DNA not taken,Food for family,,,
39,04.12.16,294,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 039,48.5,DNA not taken,Food for family,,,
40,04.12.16,490,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 040,81.5,DNA not taken,Food for family,,,
41,04.12.16,490,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 041,75,DNA not taken,Food for family,,,
42,04.12.16,540,Wagina,Choiseul,Hawksbill,Yes,Captured while nesting,Night ,Wagina 042,87.5,DNA not taken,Food for family,,,
43,05.12.16,501,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 043,47,DNA not taken,Food for family,,,
44,05.12.16,501,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 044,82,DNA not taken,Food for family,,,
45,08.12.16,501,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 045,81,DNA not taken,Food for family,,,
46,08.12.16,501,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 046,53.3,DNA not taken,Food for family,,,
47,08.12.16,501,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 047,44,DNA not taken,Food for family,,,
48,09.12.16,319,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 048,43,DNA not taken,Food for family,,,
49,09.12.16,319,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 049,70,DNA not taken,Food for family,,,
50,09.12.16,319,Wagina,Choiseul,Green,N/A,Freediving,Day,Not taken,60,DNA not taken,Food for family,,,
51,11.12.16,476,Wagina,Choiseul,Hawksbill,N/A,Freediving,Night,Not taken,79,DNA not taken,Food for family,,,
52,11.12.16,476,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 052,66,DNA not taken,Food for family,,,
53,11.12.16,476,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 053,74.5,DNA not taken,Food for family,,,
54,13.12.16,307,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 054,53,DNA not taken,Food for family,,,
55,16.12.6,501,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 055,41.5,DNA not taken,Food for family,,,
56,16.12.6,319,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 056,48.5,DNA not taken,Food for family,,,
57,21.12.16,501,Wagina,Choiseul,Green,No,Freediving,Night,Wagina 057,59,DNA not taken,Food for family,,,
58,21.12.16,539,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 058,87,DNA not taken,Food for family,,,
59,25.12.16,294,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Not taken,89.5,DNA not taken,Family Feast/Christmas ,,,
60,25.12.16,294,Wagina,Choiseul,Green,N/A,Freediving,Night,Wagina 060,85,DNA not taken,Food for family,,,
61,28.12.16,501,Wagina,Choiseul,Green,Yes,Freediving/hook,Night,Wagina 061,56,DNA not taken,Family Feast/New Year,,,
62,28.12.16,501,Wagina,Choiseul,Green,Yes,Freediving/hook,Night,Wagina 062,88,DNA not taken,Family Feast/New Year,,,
63,28.12.16,501,Wagina,Choiseul,Green,Yes,Freediving/hook,Night,Wagina 063,69,DNA not taken,Family Feast/New Year,,,
64,28.12.16,319,Wagina,Choiseul,Green,Yes,Netting,Not recorded,Wagina 064,63.5,DNA not taken,Family Feast/New Year,,,
65,28.12.16,319,Wagina,Choiseul,Green,Yes,Netting,Not recorded,Wagina 065,78.5,DNA not taken,Family Feast/New Year,,,
66,28.12.16,319,Wagina,Choiseul,Green,Yes,Netting,Not recorded,Wagina 066,74.5,DNA not taken,Family Feast/New Year,,,
67,28.12.16,319,Wagina,Choiseul,Green,Yes,Netting,Not recorded,Wagina 067,67.5,DNA not taken,Family Feast/New Year,,,
68,28.12.16,500,Wagina,Choiseul,Green,N/A,Freediving,Night,Wagina 068,38,DNA not taken,Food for family,,,
69,29.12.16,501,Wagina,Choiseul,Green,Yes,Netting,Not recorded,Wagina 069,56,DNA not taken,Food for family,,,
70,31.12.16,294,Wagina,Choiseul,Green,Yes,Netting,Not recorded,Wagina 070,52.5,DNA not taken,Food for family,,,
71,31.12.16,294,Wagina,Choiseul,Green,N/A,Netting,Not recorded,Wagina 071,75.5,DNA not taken,Food for family,,,
72,02.01.17,294,Wagina,Choiseul,Green,Yes,Netting,Not recorded,Wagina 072,44.5,DNA not taken,Family Feast/New Year,,,
73,02.01.17,294,Wagina,Choiseul,Green,Yes,Netting,Not recorded,Wagina 073,48.5,DNA not taken,Family Feast/New Year,,,
74,02.01.17,294,Wagina,Choiseul,Green,Yes,Netting,Not recorded,Wagina 074,49,DNA not taken,Family Feast/New Year,,,
75,02.01.17,294,Wagina,Choiseul,Green,Yes,Netting,Not recorded,Wagina 075,46.5,DNA not taken,Family Feast/New Year,,,
76,02.01.17,294,Wagina,Choiseul,Green,Yes,Netting,Not recorded,Wagina 076,79,DNA not taken,Family Feast/New Year,,,
77,02.01.17,294,Wagina,Choiseul,Green,Yes,Netting,Not recorded,Wagina 077,83,DNA not taken,Family Feast/New Year,,,
78,02.01.17,294,Wagina,Choiseul,Green,N/A,Netting,Not recorded,Wagina 078,47,DNA not taken,Family Feast/New Year,,,
79,02.01.17,294,Wagina,Choiseul,Green,Yes,Netting,Not recorded,Wagina 079,42.5,DNA not taken,Family Feast/New Year,,,
80,02.01.17,294,Wagina,Choiseul,Hawksbill,Yes,Netting,Not recorded,Wagina 080,69.5,DNA not taken,Family Feast/New Year,,,
81,03.01.17,501,Wagina,Choiseul,Green,Yes,Freediving/hook,Night,Wagina 081,42.5,DNA not taken,Family Feast/New Year,,,
82,03.01.17,501,Wagina,Choiseul,Green,Yes,Freediving/hook,Night,Wagina 082,48.2,DNA not taken,Family Feast/New Year,,,
83,03.01.17,501,Wagina,Choiseul,Green,Yes,Freediving/hook,Night,Wagina 083,68.5,DNA not taken,Family Feast/New Year,,,
84,03.01.17,501,Wagina,Choiseul,Green,Yes,Freediving/hook,Night,Wagina 084,88,DNA not taken,Family Feast/New Year,,,
85,03.01.17,501,Wagina,Choiseul,Green,Yes,Freediving/hook,Night,Wagina 085,93.5,DNA not taken,Family Feast/New Year,,,
86,06.03.17,319,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 086,66,DNA not taken,Food for family,,,
87,06.03.17,319,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 087,67,DNA not taken,Food for family,,,
88,08.01.17,319,Wagina,Choiseul,Green,Yes,Netting,Not recorded,Wagina 088,56.2,DNA not taken,Food for family,,,
89,08.01.17,294,Wagina,Choiseul,Green,Yes,Netting,Not recorded,Wagina 089,61,DNA not taken,Food for family,,,
90,08.01.17,501,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 090,53.3,DNA not taken,Food for family,,,
91,08.01.17,490,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 091,69.5,DNA not taken,Food for family,,,
92,08.01.17,307,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 092,80,DNA not taken,Food for family,,,
93,09.01.17,319,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 093,48.5,DNA not taken,Food for family,,,
94,14.01.17,307,Wagina,Choiseul,Hawksbill,N/A,Freediving,Night,Not taken,40.9,DNA not taken,Food for family,,,
95,22.01.17,490,Wagina,Choiseul,Green,Yes,Freediving/hook,Night,Wagina 095,65.5,DNA not taken,Food for family,,,
96,22.01.17,490,Wagina,Choiseul,Green,Yes,Freediving/hook,Night,Wagina 096,82,DNA not taken,Food for family,,,
97,22.01.17,291,Wagina,Choiseul,Green,Yes,Freediving/hook,Night,Wagina 097,72,DNA not taken,Food for family,,,
98,22.01.17,291,Wagina,Choiseul,Green,Yes,Freediving/hook,Night,Wagina 098,67.5,DNA not taken,Food for family,,,
99,22.01.17,476,Wagina,Choiseul,Hawksbill,Yes,Freediving/hook,Night,Wagina 099,76,DNA not taken,Family Feast/birthday party,,,
100,22.01.17,476,Wagina,Choiseul,Green,Yes,Freediving/hook,Night,Wagina 100,63.5,DNA not taken,Family Feast/birthday party,,,
