Community,Province,Day,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18
Wagina,Choiseul ,1,Not Available,,,,,,,Not Available,,,,,,,
Wagina,Choiseul ,2,Not Available,,,,,,Not Available,,,,,,,,
Wagina,Choiseul ,3,Not Available,,,,,,Not Available,,,,,,Not Available,,
Wagina,Choiseul ,4,Not Available,,,,,,Not Available,,,,,,Not Available,,
Wagina,Choiseul ,5,Not Available,Not Available,,,,,Not Available,,,,,,Not Available,,
Wagina,Choiseul ,6,Not Available,,,,,,Not Available,,,,,,Not Available,,
Wagina,Choiseul ,7,Not Available,,,,,Not Available,Not Available,,,,,,Not Available,,
Wagina,Choiseul ,8,Not Available,,,,,Not Available,Not Available,,,,,,Not Available,,
Wagina,Choiseul ,9,Not Available,,,,,Not Available,,,,,,,Not Available,,
Wagina,Choiseul ,10,Not Available,,,,,Not Available,,,,Not Available,,,,,
Wagina,Choiseul ,11,Not Available,Not Available,,,,Not Available,,,,Not Available,,,,,
Wagina,Choiseul ,12,Not Available,,,,,Not Available,,,,Not Available,,,,,
Wagina,Choiseul ,13,Not Available,,,,,Not Available,,,,Not Available,,,,,
Wagina,Choiseul ,14,Not Available,,,,,Not Available,,,,Not Available,,,,,
Wagina,Choiseul ,15,,,,,,Not Available,,,,Not Available,,,,,
Wagina,Choiseul ,16,,,,,,Not Available,,,,,,,,,
Wagina,Choiseul ,17,,,,,,Not Available,,,,,,,,,
Wagina,Choiseul ,18,,,,,,,,,,,,,,,
Wagina,Choiseul ,19,,,,,,,,,,,,,,,
Wagina,Choiseul ,20,,,,,,,,,,,,,,,
Wagina,Choiseul ,21,,,,,Not Available,,,,,,,,,,
Wagina,Choiseul ,22,,,,,Not Available,,,Not Available,,,,,,,
Wagina,Choiseul ,23,,,,,Not Available,,,Not Available,Not Available,,,,,,
Wagina,Choiseul ,24,,,,,Not Available,,,,Not Available,,,,,,
Wagina,Choiseul ,25,,,,,,,,,,,,,,,
Wagina,Choiseul ,26,,,,,,,,,,,,,,,
Wagina,Choiseul ,27,,,,,,,,,,,Not Available,,Not Available,,
Wagina,Choiseul ,28,,,,,,,,,,,,,Not Available,,
Wagina,Choiseul ,29,,,,,,,,,,,,,,,
Wagina,Choiseul ,30,,,,,,,,,,,,,,,
Wagina,Choiseul ,31,,,,,,,Not Available,,,,,,,,
Kia,Isabel,1,,,,,,,,,,,,,,,
Kia,Isabel,2,,,,,,,,,,,,,,,
Kia,Isabel,3,,,,,,,,,,,,,,,
Kia,Isabel,4,,,,,,,,,,,,,,,
Kia,Isabel,5,,,,,,,,,,,,,,,
Kia,Isabel,6,,,,,,,,,,,,,,,
Kia,Isabel,7,,,,,,,,,,,,,,,
Kia,Isabel,8,,,,,,,,,,,,,,,
Kia,Isabel,9,,,,,,,,,,,,,,,
Kia,Isabel,10,,,,,,,,,,,,,,,
Kia,Isabel,11,,,,,,,,,,,,,,,
Kia,Isabel,12,,,,,,,,,,,,,,,
Kia,Isabel,13,Not Available,,,,,,,,,,,,,,
Kia,Isabel,14,Not Available,,,,,,,,,,,,,,
Kia,Isabel,15,,,,,,,,,,,,,,,
Kia,Isabel,16,,,,,,,,,,,,,,,
Kia,Isabel,17,,,,,,,,,,,,,,,
Kia,Isabel,18,,,,,,,,,,,,,,,
Kia,Isabel,19,,,,,,,,,,,,,,,
Kia,Isabel,20,,,,,,,Not Available,,,,,,,,
Kia,Isabel,21,,,,,,,Not Available,,,,,,,,
Kia,Isabel,22,,,,,,,Not Available,,,,,,,,
Kia,Isabel,23,,,,,,,Not Available,,,,,,,,
Kia,Isabel,24,,,,,,,Not Available,,,,,,,,
Kia,Isabel,25,,,,,,,Not Available,,,,,,,,
Kia,Isabel,26,,,,,,,Not Available,,,,,,,,
Kia,Isabel,27,,,,,,,Not Available,,,,,,,,
Kia,Isabel,28,,,,,,,Not Available,,,,,,,,
Kia,Isabel,29,,,,,,,Not Available,,,,,,,,
Kia,Isabel,30,,,,,,,Not Available,,,,,,,,
Kia,Isabel,31,,,,,,,,,,,,,,,
Buala,Isabel,1,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,2,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,3,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,4,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,5,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,6,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,7,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,8,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,9,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,10,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,11,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,12,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,13,Not Available,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,14,Not Available,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,15,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,16,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,17,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,18,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,19,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,20,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,21,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,22,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,23,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,24,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,25,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,26,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,27,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,28,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,29,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,30,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,31,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Taro,Choiseul ,1,,,,Not Available,,,Not Available,,,Not Available,Not Available,,,,
Taro,Choiseul ,2,,,,Not Available,,,Not Available,,,Not Available,Not Available,,,,
Taro,Choiseul ,3,,,,Not Available,,Not Available,,,,Not Available,Not Available,,,,
