date,reef_id,Community,Province,species_id,total_catch,purpose,note1,note2,Shell use if Hawksbill,sale_price_dollars_per_kg
31.07.17,294,Wagina,Choisuel,Hawksbill,1,,,,,
02.08.17,NA,Wagina,Choisuel,Green,1,,,,,
05.09.17,NA,Wagina,Choiseul,Green,2,,,,,
13.10.17,NA,Wagina,Choiseul,Green,2,,,,,
03.11.17,NA,Wagina,Choiseul,Green,1,,,,,
16.11.17,540,Wagina,Choiseul,Hawksbill,1,,,,,
17.11.17,476,Wagina,Choiseul,Hawksbill,3,,,,,
24.11.17,476,Wagina,Choiseul,Green/Hawksbill,23,,,,,
25.11.17,NA,Wagina,Choiseul,Hawksbill,1,,,,,
04.12.17,NA,Wagina,Choiseul,Green,3,,,,,
07.12.17,NA,Wagina,Choiseul,Green,1,,,,,
24.12.17,NA,Wagina,Choiseul,Hawksbill,4,,,,,
29.12.17,NA,Wagina,Choiseul,Green,1,,,,,
31.12.17,NA,Wagina,Choiseul,Green,1,,,,,
11.03.18,319,Wagina,Choiseul,Hawksbill,1,,,,,
11.03.18,292,Wagina,Choiseul,Green,1,,,,,
11.03.18,500,Wagina,Choiseul,Green,1,,,,,
18.03.18,540,Wagina,Choiseul,Green,1,,,,,
19.03.18,319,Wagina,Choiseul,Green,1,,,,,
20.03.18,NA,Wagina,Choiseul,Green,2,,,,,
21.03.18,NA,Wagina,Choiseul,Green,11,,,,,
31.03.18,501,Wagina,Choiseul,Green,5,,,,,
15.04.17,56,Kia,Isabel,Green,2,,,,,
15.04.17,115,Kia,Isabel,Hawksbill,2,,,,,
15.04.17,NA,Kia,Isabel,Green,4,,,,,
02.06.17,56,Kia,Isabel,Hawksbill,2,,,,,
04.06.17,NA,Kia,Isabel,Green,1,,,,,
17.07.17,56,Kia,Isabel,Green,4,,,,,
18.07.17,141,Kia,Isabel,Green,1,,,,,
19.07.17,54,Kia,Isabel,Green,1,,,,,
19.07.17,54,Kia,Isabel,Hawksbill,1,,,,,
20.07.17,73,Kia,Isabel,Green,4,,,,,
29.07.17,118,Kia,Isabel,Green,5,,,,,
02.08.17,85,Kia,Isabel,Green,1,,,,,
03.08.17,63,Kia,Isabel,Green,5,,,,,
04.08.17,60,Kia,Isabel,Green,6,,,,,
04.08.17,60,Kia,Isabel,Hawksbill,1,,,,,
04.08.17,NA,Kia,Isabel,Green,4,,,,,
15.08.17,80,Kia,Isabel,-,1,,,,,
25.08.17,NA,Kia,Isabel,-,5,,,,,
11.09.17,96,Kia,Isabel,Hawksbill,1,,,,,
11.09.17,98,Kia,Isabel,Hawksbill,4,,,,,
11.09.17,167,Kia,Isabel,Hawksbill,3,,,,,
11.09.17,85,Kia,Isabel,Hawksbill,1,,,,,
12.09.17,167,Kia,Isabel,-,3,,,,,
27.09.17,96,Kia,Isabel,Hawksbill,2,,,,,
01.10.17,86,Kia,Isabel,Hawksbill,1,,,,,
07.10.17,NA,Kia,Isabel,Hawksbill,1,,,,,
13.10.17,83,Kia,Isabel,Green,1,,,,,
16.10.17,115,Kia,Isabel,Green,1,,,,,
17.10.17,56,Kia,Isabel,Green,4,,,,,
18.10.17,172,Kia,Isabel,Green,1,,,,,
08.10.17,89,Kia,Isabel,Green,2,,,,,
08.10.17,89,Kia,Isabel,Hawksbill,2,,,,,
11.10.17,NA,Kia,Isabel,Green,2,,,,,
11.10.17,NA,Kia,Isabel,Hawksbill,3,,,,,
17.10.17,NA,Kia,Isabel,Green,1,,,,,
18.10.17,167,Kia,Isabel,Hawksbill,5,,,,,
20.10.17,96,Kia,Isabel,Hawksbill,1,,,,,
24.10.17,NA,Kia,Isabel,Hawksbill,1,,,,,
24.10.17,85,Kia,Isabel,Green,1,,,,,
03.12.17,96,Kia,Isabel,Hawksbill,3,,,,,
03.12.17,96,Kia,Isabel,Green,2,,,,,
18.12.17,167,Kia,Isabel,Green,1,,,,,
18.12.17,167,Kia,Isabel,Hawksbill,2,,,,,
19.12.17,73,Kia,Isabel,Green,6,,,,,
19.12.17,73,Kia,Isabel,Hawksbill,1,,,,,
21.12.17,NA,Kia,Isabel,Green,6,,,,,
22.12.17,126,Kia,Isabel,Green,4,,,,,
23.12.17,5,Kia,Isabel,Green,3,,,,,
23.12.17,5,Kia,Isabel,Hawksbill,1,,,,,
30.12.17,56,Kia,Isabel,Green,4,,,,,
12.03.18,34,Kia,Isabel,Green,1,,,,,
18.03.18,NA,Kia,Isabel,Green,1,,,,,
19.03.18,128,Kia,Isabel,Green,1,,,,,
20.03.18,42,Kia,Isabel,Green,1,,,,,
21.03.18,73,Kia,Isabel,Green,1,,,,,
21.03.18,73,Kia,Isabel,Hawksbill,1,,,,,
06.04.18,NA,Kia,Isabel,Green,14,,,,,
21.04.18,55,Kia,Isabel,Green,3,,,,,
23.04.18,56,Kia,Isabel,Green,2,,,,,
28.04.18,115,Kia,Isabel,Green,3,,,,,
29.04.18,NA,Kia,Isabel,Green,1,,,,,
02.05.18,56,Kia,Isabel,Hawksbill,1,,,,,
04.05.18,174,Kia,Isabel,Hawksbill,1,,,,,
